env_id,control_effort,timeToGoal,stayedInGoal,precisionOnGoal
538,0.0,NaN,0.0,2.3759138584136963
539,0.0,NaN,0.0,2.012390375137329
540,0.0,NaN,0.0,1.6644909381866455
541,0.0,NaN,0.0,1.3460731506347656
542,0.0,NaN,0.0,1.0847960710525513
543,0.0,NaN,0.0,0.9310665726661682
544,0.0,NaN,0.0,1.1669061183929443
545,0.0,NaN,0.0,1.1068705320358276
546,0.0,NaN,0.0,1.184446096420288
547,0.0,NaN,0.0,1.3763145208358765
548,0.0,NaN,0.0,1.642313003540039
549,0.0,NaN,0.0,1.9514853954315186
550,0.0,NaN,0.0,2.285195827484131
551,0.0,NaN,0.0,2.6325864791870117
552,0.0,NaN,0.0,2.9868528842926025
553,0.0,NaN,0.0,2.9401378631591797
554,0.0,NaN,0.0,2.586467981338501
555,0.0,NaN,0.0,2.240424633026123
556,0.0,NaN,0.0,1.9091941118240356
557,0.0,NaN,0.0,1.6044049263000488
558,0.0,NaN,0.0,1.3460731506347656
559,0.0,NaN,0.0,1.1669061183929443
560,0.0,NaN,0.0,1.4782037734985352
561,0.0,NaN,0.0,1.3756471872329712
562,0.0,NaN,0.0,1.3763145208358765
563,0.0,NaN,0.0,1.4800629615783691
564,0.0,NaN,0.0,1.6672309637069702
565,0.0,NaN,0.0,1.9125173091888428
566,0.0,NaN,0.0,2.195143222808838
567,0.0,NaN,0.0,2.500640392303467
568,0.0,NaN,0.0,2.8191778659820557
569,0.0,NaN,0.0,3.1393024921417236
570,0.0,NaN,0.0,2.815157890319824
571,0.0,NaN,0.0,2.4967362880706787
572,0.0,NaN,0.0,2.191455841064453
573,0.0,NaN,0.0,1.9091943502426147
574,0.0,NaN,0.0,1.6644909381866455
575,0.0,NaN,0.0,1.4782034158706665
576,0.0,NaN,0.0,1.8262357711791992
577,0.0,NaN,0.0,1.6979107856750488
578,0.0,NaN,0.0,1.6423133611679077
579,0.0,NaN,0.0,1.6672309637069702
580,0.0,NaN,0.0,1.7690601348876953
581,0.0,NaN,0.0,1.9348804950714111
582,0.0,NaN,0.0,2.14855694770813
583,0.0,NaN,0.0,2.395390510559082
584,0.0,NaN,0.0,2.6636314392089844
585,0.0,NaN,0.0,2.944122314453125
586,0.0,NaN,0.0,3.0538170337677
587,0.0,NaN,0.0,2.770667314529419
588,0.0,NaN,0.0,2.4967358112335205
589,0.0,NaN,0.0,2.240424871444702
590,0.0,NaN,0.0,2.012389659881592
591,0.0,NaN,0.0,1.8262354135513306
592,0.0,NaN,0.0,2.1928646564483643
